0.0	0.0	0.0
264.0	1.05	94.27
291.0	1.3	102.97
318.0	1.3	112.63
345.0	0.62	89.35
373.0	0.96	97.87
401.0	0.55	141.76
457.0	0.74	79.78
485.0	1.36	96.03
513.0	1.39	101.47
541.0	0.86	96.01
569.0	1.41	118.25
597.0	1.31	126.58
625.0	0.88	127.57
653.0	0.8	130.95
681.0	0.98	146.9
709.0	0.62	148.43
737.0	0.52	120.46
765.0	0.28	194.69
793.0	0.69	206.18
821.0	0.2	276.25
849.0	0.63	173.98
877.0	0.69	153.18
905.0	0.7	233.82
933.0	0.72	190.35
961.0	0.25	138.65
989.0	0.33	6.09
1016.0	0.43	16.39
1044.0	0.33	289.05
1072.0	0.4	80.99
