,in,in,1,in,in,in,lb,lbf,lbf,lbf,lbf,lbf,%,in,lbf,lbf
ICI Flex-0700-0838S,7,8 3/8,6,13.2,8.375,7.12,9.5,1040,0,0,1040,2250,79,0,0,0
UR Flex-0700-0900TUR,7,9,6,16.7,9.000,7.12,11.3,0,0,0,0,1750,78,8.5,1075,676
ICI Flex-0700-0912S,7,9 1/2,6,15.2,9.500,7.12,11.3,1040,0,0,1040,3050,84,0,0,0
UR Flex-0700-0912UROS,7,9 1/2,6,19.7,9.500,7.12,12.0,0,0,0,0,1575,75,8,1960,1461
UR Flex-0700-0914TUR,7,9 1/4,6,16.6,9.250,7.12,12.1,0,0,0,0,2150,80,8.535,1700,850
ICI Flex-0700-0958S,7,9 5/8,6,16.2,9.625,7.12,11.2,1040,0,0,1040,1900,80,0,0,0
ICI Flex-0700-0978S,7,9 7/8,6,16.1,9.875,7.12,11.7,1040,0,0,1040,2470,82,0,0,0
UR Flex-0700-0978UROS,7,9 7/8,6,19.7,9.875,7.12,12.0,0,0,0,0,1400,74,8.5,1426,771
ICI Flex-0734-0912S,7 3/4,9 1/2,6,14.7,9.500,7.90,11.0,1844,0,0,1844,1840,66,0,0,0
UR Flex-0734-1014TUR,7 3/4,10 1/4,6,16.5,10.250,7.90,11.7,0,0,0,0,2440,74,9.5,1536,940
ICI Flex-0758-0812S,7 5/8,8 1/2,6,11.8,8.600,7.76,9.5,1056,0,0,1056,2250,78,0,0,0
ICI Flex-0758-0900S,7 5/8,9,6,13.3,9.250,7.76,10.4,1056,1109,906,1056,2450,79,0,0,0
UR Flex-0758-0900UROS,7 5/8,9.00,6,17.6,9.500,7.76,11.2,0,0,0,0,1500,72,8.5,1402,1040
UR Flex-0758-0912MTUR,7 5/8,9 1/2,6,12.7,9.500,7.76,8.2,0,0,0,0,1025,66,8.5,4783,1900
ICI Flex-0758-0912S,7 5/8,9 1/2,6,14.7,9.500,7.76,11.0,1056,0,0,1056,2760,83,0,0,0
UR Flex-0758-0912TUR,7 5/8,9 1/2,6,16.0,9.500,7.76,12.0,0,0,0,0,1500,72,8.681,1794,1115
UR Flex-0758-0912UROS,7 5/8,9 1/2,6,17.6,9.500,7.76,11.2,0,0,0,0,1350,72,8.5,1402,1040
UR Flex-0758-0914TUR,7 5/8,9 1/4,6,14.8,9.250,7.76,12.0,0,0,0,0,1750,77,8.535,2700,1180
ICI Flex-0758-0978S,7 5/8,9 7/8,6,15.7,9.875,7.76,11.5,1056,0,0,1056,2530,82,0,0,0
UR Flex-0758-0978TUR,7 5/8,9 7/8,6,16.6,9.875,7.76,12.1,0,0,0,0,940,65,8.624,3200,1400
UR Flex-0858-1034TUR,8 5/8,10 3/4,6,17.0,10.750,8.76,13.2,0,0,0,0,1850,74,10,1360,835
ICI Flex-0858-1058S,8 5/8,10 5/8,6,15.0,10.625,8.76,12.1,1440,0,0,1440,2950,84,0,0,0
ICI Flex-0858-1214S,8 5/8,12 1/4,6,18.3,12.250,8.76,14.3,1440,0,0,1440,2575,78,0,0,0
ICI Flex-0958-1058S,9 5/8,10 5/8,6,15.7,10.875,9.79,13.9,1600,727,393,1600,2550,74,0,0,0
UR Flex-0958-1112TUR,9 5/8,11 1/2,6,17.9,11.500,9.79,14.3,0,0,0,0,1550,64,10.625,1496,907
ICI Flex-0958-1158S,9 5/8,11 5/8,6,15.7,11.625,9.79,13.9,1600,0,0,1600,2060,72,0,0,0
ICI Flex-0958-1200S,9 5/8,12,6,15.6,12.000,9.79,13.9,1600,0,0,1600,2750,76,0,0,0
ICI Flex-0958-1214S,9 5/8,12 1/4,6,15.5,12.250,9.79,13.9,1600,0,0,1600,3250,81,0,0,0
UR Flex-0958-1214TUR,9 5/8,12 1/4,6,17.8,12.250,9.79,14.8,0,0,0,0,1150,57,10.625,3276,970
UR Flex-0958-1214UROS,9 5/8,12 1/4,6,20.7,12.750,9.79,14.3,0,0,0,0,1950,72,10.6,2239,947
ICI Flex-0958-1218S,9 5/8,12 1/8,6,15.6,12.125,9.79,13.9,1600,0,0,1600,2250,72,0,0,0
ICI Flex-0958-1312S,9 5/8,13 1/2,6,16.2,13.500,9.79,13.7,1600,0,0,1600,3911,81,0,0,0
UR Flex-0958-1312UROS,9 5/8,13 1/2,6,20.1,13.500,9.79,14.6,0,0,0,0,2150,74,10.6,3886,912
UR Flex-0958-1314TUR,9 5/8,13 1/4,6,17.8,13.250,9.79,16.3,0,0,0,0,2650,77,12.347,2300,1350
ICI Flex-0978-1214S,9 7/8,12 1/4,6,15.6,12.250,10.12,13.7,1168,632,456,1168,2050,77,0,0,0
UR Flex-0978-1214TUR,9 7/8,12 1/4,6,18.1,12.250,10.10,15.0,0,0,0,0,1150,59,10.7,2771,1200
UR Flex-0978-1214UROS,9 7/8,12 1/4,6,24.6,13.000,10.00,16.1,0,0,0,0,1850,72,10.665,1080,700
UR Flex-0978-1312TUR,9 7/8,13 1/2,6,17.8,13.500,10.10,14.8,0,0,0,0,2575,69,12.347,1878,863
UR Flex-0978-1400UROS,9 7/8,14,6,24.3,14.000,10.05,16.1,0,0,0,0,1675,68,12.25,1193,600
ICI Flex-1000-1214S,10,12 1/4,6,15.6,12.450,10.15,13.7,1168,632,456,1168,2350,80,0,0,0
UR Flex-1000-1214TUR,10,12 1/4,6,18.1,12.350,10.10,15.0,0,0,0,0,1150,56,10.767,2285,1154
ICI Flex-1000-1434S,10,14 3/4,6,19.4,14.750,10.15,16.1,1600,0,0,1600,2550,78,0,0,0
ICI Flex-1018-1214S,10 1/8,12 1/4,6,16.3,12.250,10.23,16.5,0,0,0,0,2580,76,0,0,0
UR Flex-1018-1434UROS,10 1/8,14 3/4,6,24.1,14.750,10.33,16.1,0,0,0,0,1850,72,12.3,1950,1020
ICI Flex-1034-1214S,10 3/4,12 1/4,6,14.5,12.600,10.95,13.3,2040,1904,976,1020,2625,84,0,0,0
UR Flex-1034-1312TUR,10 3/4,13 1/2,6,15.1,13.500,10.95,14.0,0,0,0,0,1750,74,12.347,3000,1100
UR Flex-1034-1312UROS,10 3/4,13 1/2,6,18.1,13.500,10.95,13.4,0,0,0,0,1600,80,12.3,811,485
UR Flex-1034-1314TUR,10 3/4,13 1/4,6,15.2,13.250,10.95,14.0,0,0,0,0,2300,78,12.347,2400,1250
UR Flex-1034-1400TUR,10 3/4,14,6,20.0,14.000,10.95,14.0,0,0,0,0,1420,71,12.347,800,280
ICI Flex-1034-1434S,10 3/4,14 3/4,6,17.7,14.750,10.95,15.3,2040,0,0,1020,1840,76,0,0,0
ICI Flex-1134-1312S,11 3/4,13 1/2,8,14.7,13.500,11.92,16.3,2160,0,0,1080,1700,74,0,0,0
ICI Flex-1134-1434S,11 3/4,14 3/4,8,17.5,14.750,11.92,19.0,2160,0,0,1080,2220,80,0,0,0
ICI Flex-1178-1412S,11 7/8,14 1/2,8,17.6,14.500,12.10,19.2,2160,0,0,1080,2245,81,0,0,0
ICI Flex-1338-1600S,13 3/8,16,8,15.6,16.000,13.57,18.3,2440,0,0,1220,2675,80,0,0,0
UR Flex-1338-1600TUR,13 3/8,16,8,19.5,16.000,13.57,21.2,0,0,0,0,2100,83,14.85,2010,1024
ICI Flex-1338-1700S,13 3/8,17,8,18.3,17.000,13.57,20.5,2440,0,0,1220,2390,80,0,0,0
ICI Flex-1338-1712S,13 3/8,17 1/2,8,18.2,17.500,13.57,20.9,2440,0,0,1220,2550,80,0,0,0
UR Flex-1338-1712TUR,13 3/8,17 1/2,6,20.3,17.500,13.57,19.5,0,0,0,0,1220,67,14.85,4002,1041
UR Flex-1338-1712UROS,13 3/8,17 1/2,6,24.3,17.500,13.57,18.7,0,0,0,0,1350,70,14.64,1535,793
UR Flex-1338-1900TUR,13 3/8,19,6,23.7,19.000,13.57,21.4,0,0,0,0,1340,70,17.5,835,309
ICI Flex-1358-1600S,13 5/8,16,8,16.0,16.000,13.82,18.8,1220,0,0,1220,2900,88,0,0,0
UR Flex-1358-1600TUR,13 5/8,16,6,18.8,16.000,13.82,18.1,0,0,0,0,1245,68,14.85,1195,892
ICI Flex-1358-1712S,13 5/8,17 1/2,8,18.3,17.500,13.82,20.7,1764,0,0,1764,2425,80,0,0,0
UR Flex-1358-1712TUR,13 5/8,17 1/2,6,19.3,17.500,13.82,18.7,0,0,0,0,1220,67,14.64,5017,1200
UR Flex-1358-1712UROS,13 5/8,17 1/2,6,24.4,17.500,13.82,19.2,0,0,0,0,1285,68,14.75,1501,551
ICI Flex-1400-1712S,14,17 1/2,8,16.4,17.500,14.20,19.8,2440,0,0,1220,2460,77,0,0,0
UR Flex-1400-1900TUR,14,19,6,21.4,19.000,14.20,20.5,0,0,0,0,1575,74,17.5,983,550
ICI Flex-1600-1858S,16,18 5/8,10,19.1,18.625,16.26,27.3,2600,0,0,1300,2750,84,0,0,0
