FLUENCIA;;;Kpsi;;40;;55;55;65;80;;80;;90;;95;;95;;110;;125;;80;;95;;110;;140;;80;;95;;95;;110;;;;;;;;;;;
RESISTENCIA;;;Kpsi;;60;;75;95;85;95;;100;;100;;105;;105;;125;;135;;100;;110;;125;;150;;95;;105;;105;;115;;;;;;;;;;;
"TUBO DE REVESTIMIENTO
CASING";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D.E.;PESO;;DIMENSIONES;;;;;;;PROPIEDADES MECANICAS;;;;GRADO DE ACERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ESP.;;"D.I.     DRIFT   DRIFT   AREA
ALT.   TRANS.";;;;;;;;;API;;;;;;;;;;;;;;;;;;;;;;ALTO COLAPSO;;;;;;"RESISTENTE
A LA CORROSION";;;;;;
;pulg;lb/pie;;pulg;;pulg       pulg      pulg      pulg2;;;;;;;;;H40;;J55;;K55;;M65;;L80;;N80;;C90;;C95;;T95;;P110;;Q125;;TAC80;;TAC95   TAC110   TAC140;;;;TRC80;TRC95;TRC95HC;TRC110;;;
;5 1/2;14.00;;0.244;;5.012;;4.887;;;;4.029;;Colapso-psi;;2620;;3120;;3120;;3360;;;;;;;;;;;;;;;;;;;;;;3620;3970;;
;;;;;;;;;;;;;;Tension-klb;;161;;222;;222;;262;;;;;;;;;;;;;;;;;;;;;;322;383;;
;;;;;;;;;;;;;;PInterna-psi;;3110;;4270;;4270;;5050;;;;;;;;;;;;;;;;;;;;;;6210;7380;;
;;;;;;;;;;;;;;PPrueba-psi;;2800;;3900;;3900;;4600;;;;;;;;;;;;;;;;;;;;;;5700;6700;;
;;15.50;;0.275;;4.950;;4.825;;;;4.514;;Colapso-psi;;;;4040;;4040;;4470;;;;;;;;;;;;;;;;;;;;;;4990;5380;;
;;;;;;;;;;;;;;Tension-klb;;;;248;;248;;293;;;;;;;;;;;;;;;;;;;;;;361;429;;
;;;;;;;;;;;;;;PInterna-psi;;;;4810;;4810;;5690;;;;;;;;;;;;;;;;;;;;;;7000;8310;;
;;;;;;;;;;;;;;PPrueba-psi;;;;4400;;4400;;5200;;;;;;;;;;;;;;;;;;;;;;6400;7600;;
;;17.00;;0.304;;4.892;;4.767;;;;4.962;;Colapso-psi;;;;4910;;4910;;5500;;6290;;6290;;6740;;6940;;6940;;7480;;;;8070;;8990;;10030;11140;6290;6940;8990;7480
;;;;;;;;;;;;;;Tension-klb;;;;273;;273;;323;;397;;397;;447;;471;;471;;546;;;;397;;471;;546;695;397;471;471;546
;;;;;;;;;;;;;;PInterna-psi;;;;5320;;5320;;6290;;7740;;7740;;8710;;9190;;9190;;10640;;;;7740;;9190;;10640;13540;7740;9190;9190;10640
