FLUENCIA;;;Kpsi;;40;;55;55;65;80;;80;;90;;95;;95;;110;;125;;80;;95;;110;;140;;80;;95;;95;;110;;;;;;;;;;;
RESISTENCIA;;;Kpsi;;60;;75;95;85;95;;100;;100;;105;;105;;125;;135;;100;;110;;125;;150;;95;;105;;105;;115;;;;;;;;;;;
"TUBO DE REVESTIMIENTO
CASING";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D.E.;PESO;;DIMENSIONES;;;;;;;PROPIEDADES MECANICAS;;;;GRADO DE ACERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ESP.;;"D.I.     DRIFT   DRIFT   AREA
ALT.   TRANS.";;;;;;;;;API;;;;;;;;;;;;;;;;;;;;;;ALTO COLAPSO;;;;;;"RESISTENTE
A LA CORROSION";;;;;;
;pulg;lb/pie;;pulg;;pulg       pulg      pulg      pulg2;;;;;;;;;H40;;J55;;K55;;M65;;L80;;N80;;C90;;C95;;T95;;P110;;Q125;;TAC80;;TAC95   TAC110   TAC140;;;;TRC80;TRC95;TRC95HC;TRC110;;;
;;;;;;;;;;;;PInterna-psi;;;;2950;;2950;;3480;;;;;;;;;;;;;;;;;;;;;4290;5090;;;;;
;;;;;;;;;;;;PPrueba-psi;;;;2700;;2700;;3200;;;;;;;;;;;;;;;;;;;;;3900;4700;;;;;
;;28.00;;0.304;8.017;;7.892;;7.947;;;Colapso-psi;;1610;;;;;;2020;;;;;;;;;;;;;;;;;;;;;2160;2210;;2210;;;
;;;;;;;;;;;;Tension-klb;;318;;;;;;517;;;;;;;;;;;;;;;;;;;;;636;755;;874;;;
;;;;;;;;;;;;PInterna-psi;;2470;;;;;;4010;;;;;;;;;;;;;;;;;;;;;4930;5860;;6780;;;
;;;;;;;;;;;;PPrueba-psi;;2300;;;;;;3700;;;;;;;;;;;;;;;;;;;;;4500;5400;;6200;;;
;;32.00;;0.352;7.921;;7.796;;7.875   9.149;;;Colapso-psi;;2200;;2530;;2530;;2740;;;;;;;;;;;;;;;;;;;;;3050;3280;;3420;;;
;;;;;;;;;;;;Tension-klb;;366;;503;;503;;595;;;;;;;;;;;;;;;;;;;;;732;869;;1006;;;
;;;;;;;;;;;;PInterna-psi;;2860;;3930;;3930;;4640;;;;;;;;;;;;;;;;;;;;;5710;6780;;7860;;;
;;;;;;;;;;;;PPrueba-psi;;2600;;3600;;3600;;4200;;;;;;;;;;;;;;;;;;;;;5200;6200;;7200;;;
;;36.00;;0.400     7.825    7.700                10.336;;;;;;Colapso-psi;;;3450     3450     3760     4100     4100     4250     4350     4350;;;;;;;;;;;;5910      6310      6780      7390;;;4100     4350     6310      4690;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;568        568        672        827        827        930        982        982;;;;;;;;;;;;827         982      1137      1447;;;827        982        982      1133;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;4460     4460     5280     6490     6490     7300     7710     7710;;;;;;;;;;;;6490      7710      8930    11360;;;6490     7710     7710      8930;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;4100     4100     4800     5900     5900     6700     7000     7000;;;;;;;;;;;;5900      7000      8200    10000;;;5900     7000     7000      8200;;;;;;;;;;;;;;;;;;;;;
;;40.00;;0.450     7.725    7.600    7.625   11.557;;;;;;Colapso-psi;;;4900     5520     5520     5870     6020     6020     6390;;;;;;;;;;;;7370      8230      8890      9750;;;5520     6020     8240      6390;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;751        925        925     1040     1098     1098     1271;;;;;;;;;;;;925      1098      1271      1618;;;925     1098     1098      1271;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;5930     7300     7300     8220     8670     8670   10040;;;;;;;;;;;;7300      8670    10040    12780;;;7300     8670     8670    10040;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;5400     6700     6700     7500     7900     7900     9200;;;;;;;;;;;;6700      7900      9200    10000;;;6700     7900     7900      9200;;;;;;;;;;;;;;;;;;;;;
;;44.00;;0.500     7.625    7.500                12.763;;;;;;Colapso-psi;;;6950     6950     7490     7740     7740     8420;;;;;;;;;;;;8630      9700    11020    12260;;;6950     7740     9700      8420;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;1021     1021     1149     1212     1212     1404;;;;;;;;;;;;1021      1212      1404      1787;;;1021     1212     1212      1404;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;8120     8120     9130     9640     9640   11160;;;;;;;;;;;;8120      9640    11160    14200;;;8120     9640     9640    11160;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;7400     7400     8300     8800     8800   10000;;;;;;;;;;;;7400      8800    10000    10000;;;7400     8800     8800    10000;;;;;;;;;;;;;;;;;;;;;
;;49.00;;0.557     7.511    7.386                14.118;;;;;;Colapso-psi;;;8570     8570     9340     9700     9700   10730   11660;;;;;;;;;;;;9910    11410    13450    14880;;;8570     9700   11420    10730;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;1129     1129     1271     1341     1341     1553     1765;;;;;;;;;;;;1129      1341      1553      1977;;;1129     1341     1341      1553;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;9040     9040   10170   10740   10740   12430   14130;;;;;;;;;;;;9040    10740    12430    15820;;;9040   10740   10740    12430;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;8300     8300     9300     9800     9800   10000   10000;;;;;;;;;;;;8300      9800    10000    10000;;;8300     9800     9800    10000;;;;;;;;;;;;;;;;;;;;;
;9 5/8;32.30;;0.312;9.001;;8.845;;9.128;;;Colapso-psi;;1370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Tension-klb;;365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;PInterna-psi;;2270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;PPrueba-psi;;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;36.00;;0.352;8.921;;8.765;;10.254;;;Colapso-psi;;1720;;2020;;2020;;2190;;;;;;;;;;;;;;;;;;;;;2370;2460;;2470;;;
;;;;;;;;;;;;Tension-klb;;410;;564;;564;;667;;;;;;;;;;;;;;;;;;;;;820;974;;1128;;;
;;;;;;;;;;;;PInterna-psi;;2560;;3520;;3520;;4160;;;;;;;;;;;;;;;;;;;;;5120;6080;;7040;;;
;;;;;;;;;;;;PPrueba-psi;;2300;;3200;;3200;;3800;;;;;;;;;;;;;;;;;;;;;4700;5600;;6400;;;
;;40.00;;0.395;8.835;;8.679;;8.750   11.454;;;Colapso-psi;;;;2570;;2570;;2770;;3090;3090;;3260;;3330;;3330;;;;;;4320;;4450;;4940;5280;3090;3330;4560;3470;;;
;;;;;;;;;;;;Tension-klb;;;;630;;630;;744;;916;916;;1031;;1088;;1088;;;;;;916;;1088;;1260;1604;916;1088;1088;1260;;;
;;;;;;;;;;;;PInterna-psi;;;;3950;;3950;;4670;;5750;5750;;6460;;6820;;6820;;;;;;5750;;6820;;7900;10050;5750;6820;6820;7900;;;
;;;;;;;;;;;;PPrueba-psi;;;;3600;;3600;;4300;;5300;5300;;5900;;6200;;6200;;;;;;5300;;6200;;7200;9200;5300;6200;6200;7200;;;
;;43.50;;0.435;8.755;;8.599;;12.559;;;Colapso-psi;;;;;;;;3530;;3810;3810;;4010;;4130;;4130;;4420;;;;5600;;5870;;6370;6910;3810;4130;5870;4420;;;
;;;;;;;;;;;;Tension-klb;;;;;;;;816;;1005;1005;;1130;;1193;;1193;;1381;;;;1005;;1193;;1381;1758;1005;1193;1193;1381;;;
;;;;;;;;;;;;PInterna-psi;;;;;;;;5140;;6330;6330;;7120;;7510;;7510;;8700;;;;6330;;7510;;8700;11070;6330;7510;7510;8700;;;
;;;;;;;;;;;;PPrueba-psi;;;;;;;;4700;;5800;5800;;6500;;6900;;6900;;8000;;;;5800;;6900;;8000;10000;5800;6900;6900;8000;;;
;;47.00;;0.472     8.681    8.525                 13.572;;;;;;Colapso-psi;;;4280     4750     4750     4990     5090     5090     5300     5630;;;;;;;;;;;;6590      7270      7740      8490;;;4750     5090     7270      5300;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;882     1086     1086     1222     1289     1289     1493     1697;;;;;;;;;;;;1086      1289      1493      1900;;;1086     1289     1289      1493;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;5580     6870     6870     7720     8150     8150     9440   10730;;;;;;;;;;;;6870      8150      9440    12010;;;6870     8150     8150      9440;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;5100     6300     6300     7100     7500     7500     8600     9800;;;;;;;;;;;;6300      7500      8600    10000;;;6300     7500     7500      8600;;;;;;;;;;;;;;;;;;;;;
;;53.50;;0.545     8.535    8.379    8.500   15.547;;;;;;Colapso-psi;;;6620     6620     7110     7340     7340     7950     8440;;;;;;;;;;;;8350      9340    10520    11700;;;6620     7340     9340      7950;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;1244     1244     1399     1477     1477     1710     1943;;;;;;;;;;;;1244      1477      1710      2177;;;1244     1477     1477      1710;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;7930     7930     8920     9410     9410   10900   12390;;;;;;;;;;;;7930      9410    10900    13870;;;7930     9410     9410    10900;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;7200     7200     8200     8600     8600   10000   10000;;;;;;;;;;;;7200      8600    10000    10000;;;7200     8600     8600    10000;;;;;;;;;;;;;;;;;;;;;
;;58.40;;0.595     8.435    8.279    8.375   16.879;;;;;;Colapso-psi;;;7890     7890     8570     8890     8890     9770   10540;;;;;;;;;;;;9370    10690    12440    13790;;;7890     8890   10690      9770;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;1350     1350     1519     1604     1604     1857     2110;;;;;;;;;;;;1350      1604      1857      2363;;;1350     1604     1604      1857;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;8650     8650     9740   10280   10280   11900   13520;;;;;;;;;;;;8650    10280    11900    15150;;;8650   10280   10280    11900;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;7900     7900     8900     9400     9400   10000   10000;;;;;;;;;;;;7900      9400    10000    10000;;;7900     9400   10000    10000;;;;;;;;;;;;;;;;;;;;;
;;59.40;;0.609     8.407    8.251                 17.250;;;;;;Colapso-psi;;;8970                   9320;;;;;;;;;;;;9660    11070    12980    14370;;;8250     9320   11070    10280;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;1552                   1639;;;;;;;;;;;;1380      1639      1897      2415;;;1380     1639     1639      1897;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;9970                 10520;;;;;;;;;;;;8860    10520    12180    15500;;;8860   10520   10520    12180;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;9100                   9600;;;;;;;;;;;;8100      9600    10000    10000;;;8100     9600   10000    10000;;;;;;;;;;;;;;;;;;;;;
;;64.90;;0.672;;8.281;;8.125;;;;18.901;;Colapso-psi;;;;;;;;;;;;;;10800;;;;11260;;;;;;10900;;12810;;14880;16880;9860   11260   12820    12570;;;
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;1701;;;;1796;;;;;;1512;;1796;;2079;2646;1512     1796     1796      2079;;;
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;11000;;;;10000;;;;;;9770;;11610;;13440;17110;9770   11610   11610    13440;;;
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;10000;;;;10000;;;;;;8900;;10000;;10000;10000;8900   10000   10000    10000;;;
;;70.30;;0.734;;8.157;;8.000;;;;20.498;;Colapso-psi;;;;;;;;;;;;;;12600;;;;13170;;;;;;12060;;14450;;16530;19290;;;;
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;1845;;;;1948;;;;;;1640;;1948;;2255;2870;;;;
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;12010;;;;12680;;;;;;10680;;12680;;14680;18680;;;;
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;10000;;;;10000;;;;;;9800;;10000;;10000;10000;;;;
;;75.60;;0.797;;8.031;;7.875;;;;22.100;;Colapso-psi;;;;;;;;;;;;;;13670;;;;14430;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;1989;;;;2100;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;13040;;;;13770;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;10000;;;;10000;;;;;;;;;;;;;;;
;9 3/4;59.20;;0.595;;8.560    8.404                 17.113;;;;;Colapso-psi;;;;;;;;;;7700;;7700;;8350;;8650;;8650     9490   10220;;;;;;;;;;7700;8650;10490;9490;;;;;
;;;;;;;;;;;Tension-klb;;;;;;;;;;1369;;1369;;1540;;1626;;1626     1882     2139;;;;;;;;;;1369;1626;1626;1882;;;;;
;;;;;;;;;;;PInterna-psi;;;;;;;;;;8540;;8540;;9610   10150   10150   11750   13350;;;;;;;;;;;;;;8540;10150;10150;11750;;;;;
;;;;;;;;;;;PPrueba-psi;;;;;;;;;;7800;;7800;;8800;;9300;;9300   10000   10000;;;;;;;;;;7800;9300;9300;10000;;;;;
;9 7/8;62.80;;0.625;;8.625    8.469    8.500   18.162;;;;;Colapso-psi;;;;;;;;;;8260;;8260;;8980;;9320;;9320   10280   11140;;;;9670;;11080;;12990;14390;8260;9320;11080;10280;;;;;
;;;;;;;;;;;Tension-klb;;;;;;;;;;1453;;1453;;1635;;1725;;1725     1998     2270;;;;1453;;1725;;1998;2543;1453;1725;1725;1998;;;;;
;;;;;;;;;;;PInterna-psi;;;;;;;;;;8860;;8860;;9970   10520   10520   12180   13840;;;;;;;;8860;;10520;;12180;15510;8860;10520;10520;12180;;;;;
;;;;;;;;;;;PPrueba-psi;;;;;;;;;;8100;;8100;;9100;;9600;;9600   10000   10000;;;;8100;;9600;;10000;10000;8100;9600;9600;10000;;;;;
;10 3/4;32.75;;0.279;;10.192  10.036                 9.178;;;;;Colapso-psi;;840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Tension-klb;;367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PInterna-psi;;1820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PPrueba-psi;;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;40.50;;0.350;;10.050   9.894                 11.435;;;;;Colapso-psi;;1390;;1580;;1580;;1670;;;;;;;;;;;;;;;;;;;;1730;1730;;1730;;;;;
;;;;;;;;;;;Tension-klb;;457;;629;;629;;743;;;;;;;;;;;;;;;;;;;;915;1086;;1258;;;;;
;;;;;;;;;;;PInterna-psi;;2280;;3130;;3130;;3700;;;;;;;;;;;;;;;;;;;;4560;5410;;6270;;;;;
;;;;;;;;;;;PPrueba-psi;;1600;;2100;;2100;;3400;;;;;;;;;;;;;;;;;;;;4200;4900;;5700;;;;;
;;45.50;;0.400;9.950;;9.794;;9.875;;13.006;;Colapso-psi;;;;2090;;2090;;2270;;;;;;;;;;;;;;;;;;;;;;2470;2590;;2610;
;;;;;;;;;;;;;Tension-klb;;;;715;;715;;845;;;;;;;;;;;;;;;;;;;;;;1040;1236;;1431;
;;;;;;;;;;;;;PInterna-psi;;;;3580;;3580;;4230;;;;;;;;;;;;;;;;;;;;;;5210;6190;;7160;
;;;;;;;;;;;;;PPrueba-psi;;;;2500;;2500;;3900;;;;;;;;;;;;;;;;;;;;;;4800;5700;;6500;
;;51.00;;0.450;9.850;;9.694;;;;14.561;;Colapso-psi;;;;2710;;2710;;2870;;3220;;3220;;3400;;3480;;3480;;3660;;;;4610;;4830;;5220;5600;3220;3480;4830;3660;
;;;;;;;;;;;;;Tension-klb;;;;801;;801;;946;;1165;;1165;;1311;;1383;;1383;;1602;;;;1165;;1383;;1602;2039;1165;1383;1383;1602;
;;;;;;;;;;;;;PInterna-psi;;;;4030;;4030;;4760;;5860;;5860;;6590;;6960;;6960;;8060;;;;5860;;6960;;8060;10260;5860;6960;6960;8060;
;;;;;;;;;;;;;PPrueba-psi;;;;2800;;2800;;4400;;5400;;5400;;6000;;6400;;6400;;7400;;;;5400;;6400;;7400;8900;5400;6400;6400;8900;
;;55.50;;0.495;9.760;;9.604;;9.625;;15.947;;Colapso-psi;;;;;;;;3690;;4020;;4020;;4160;;4290;;4290;;4610;;;;5830;;6190;;6670;7250;4020;4290;6190;4610;
;;;;;;;;;;;;;Tension-klb;;;;;;;;1037;;1276;;1276;;1435;;1515;;1515;;1754;;;;1276;;1515;;1754;2233;1276;1515;1515;1754;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;5240;;6450;;6450;;7250;;7660;;7660;;8860;;;;6450;;7660;;8860;11280;6450;7660;7660;8860;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;4800;;5900;;5900;;6600;;7000;;7000;;8100;;;;5900;;7000;;8100;9700;5900;7000;7000;8100;
;;60.70;;0.545;9.660;;9.504;;;;17.473;;Colapso-psi;;;;;;;;;;;;;;5460;;;;5580;;5880;;6070;;7010;;7800;;8340;9180;5160;5580;7800;5880;
;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;1573;;;;1660;;1922;;2184;;1398;;1660;;1922;2446;1398;1660;1660;1922;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;7980;;;;8430;;9760;;11090;;7100;;8430;;9760;12420;7100;8430;8430;9760;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;7300;;;;7700;;8900;;10000;;6500;;7700;;8900;9700;6500;7700;7700;8900;
;;65.70;;0.595;;9.560;;9.404;;;;18.982;;Colapso-psi;;;;;;;;;;;;;;6760;;;;6970;;7500;;7920;;8090;;9010;;10050;11170;6300;6970;9010;7500
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;1708;;;;1803;;2088;;2373;;1519;;1803;;2088;2658;1519;1803;1803;2088
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;8720;;;;9200;;10650;;12110;;7750;;9200;;10650;13560;7750;9200;9200;10650
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;8000;;;;8400;;9700;;10000;;7100;;8400;;9700;9700;7100;8400;8400;9700
;;73.20;;0.672;;9.406;;9.250;;;;21.276;;Colapso-psi;;;;;;;;;;;;;;8760;;;;9090;;;;;;9510;;10870;;12690;14070;8060;9090;10870;10010
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;1915;;;;2021;;;;;;1702;;2021;;2340;2979;1702;2021;2021;2340
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;9850;;;;10390;;;;;;8750;;10390;;12030;15320;8750;10390;10390;12030
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;9000;;;;9500;;;;;;8000;;9500;;10000;10000;8000;9500;9500;10000
;;79.20;;0.734;;9.282;;9.126;;;;23.096;;Colapso-psi;;;;;;;;;;;;;;10370;;;;10800;;;;;;10620;;12390;;14490;16290;9480;10800;12390;12030
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;2079;;;;2194;;;;;;1848;;2194;;2541;3233;1848;2194;2194;2541
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;10750;;;;11350;;;;;;9560;;11350;;13140;16730;9560;11350;11350;13140
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;9800;;;;10000;;;;;;8700;;10000;;10000;10000;8700;10000;10000;10000
;;85.30;;0.797;;9.156;;9.000;;;;24.921;;Colapso-psi;;;;;;;;;;;;;;12010;;;;12540;;;;;;;;;;;;10920;12540;;14080
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;2243;;;;2367;;;;;;;;;;;;1994;2367;;2741
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;11680;;;;12330;;;;;;;;;;;;10380;12330;;14270
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;10000;;;;10000;;;;;;;;;;;;9500;10000;;10000
;11 3/4;42.00;;0.333;11.084  10.928  11.000  11.944;;;;;Colapso-psi;;1040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;47.00;;0.375;11.000  10.844                13.401;;;;;Colapso-psi;;;;1510;;1510;;1590;;;;;;;;;;;;;;;;;;;;;1630;1630;;1630;;;;;
;;;;;;;;;;Tension-klb;;;;737;;737;;871;;;;;;;;;;;;;;;;;;;;;1072;1273;;1474;;;;;
;;;;;;;;;;PInterna-psi;;;;3070;;3070;;3630;;;;;;;;;;;;;;;;;;;;;4470;5310;;6140;;;;;
;;;;;;;;;;PPrueba-psi;;;;2100;;2100;;3300;;;;;;;;;;;;;;;;;;;;;4100;4900;;5600;;;;;
;;54.00;;0.435;10.880  10.724                15.463;;;;;Colapso-psi;;;;2070;;2070;;2250;;;;;;;;;;;;;;;;;;;;;2440;2550;;2570;;;;;
;;;;;;;;;;Tension-klb;;;;850;;850;;1005;;;;;;;;;;;;;;;;;;;;;1237;1469;;1701;;;;;
;;;;;;;;;;PInterna-psi;;;;3560;;3560;;4210;;;;;;;;;;;;;;;;;;;;;5180;6150;;7130;;;;;
;;;;;;;;;;PPrueba-psi;;;;2400;;2400;;3900;;;;;;;;;;;;;;;;;;;;;4700;5600;;6500;;;;;
;;60.00;;0.489;10.772  10.616  10.625  17.300;;;;;Colapso-psi;;;;2670;;2670;;2840;;3180;3180;;3360;;3440;;3440;;3610;;3680;;4530;;4740;;5140;5500;3180;3440;4740;3610;;;;;
;;;;;;;;;;Tension-klb;;;;951;;951;;1124;;1384;1384;;1557;;1643;;1643;;1903;;2162;;1384;;1643;;1903;2422;1384;1643;1643;1903;;;;;
;;;;;;;;;;PInterna-psi;;;;4010;;4010;;4730;;5830;5830;;6550;;6920;;6920;;8010;;9100;;5830;;6920;;8010;10200;5830;6920;6920;8010;;;;;
;;;;;;;;;;PPrueba-psi;;;;2700;;2700;;4300;;5300;5300;;6000;;6300;;6300;;7300;;8300;;5300;;6300;;7300;9300;5300;6300;6300;7300;;;;;
;;65.00;;0.534    10.682  10.526  10.625  18.816;;;;;;Colapso-psi;;;3870     3870     4060     4170     4170     4480     4690;;;;;;;;;;;;5660      5960      6450      7010;;;3870     4170     5960      4480;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;1505     1505     1693     1788     1788     2070     2352;;;;;;;;;;;;1505      1788      2070      2634;;;1505     1788     1788      2070;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;6360     6360     7160     7560     7560     8750     9940;;;;;;;;;;;;6360      7560      8750    11130;;;6360     7560     7560      8750;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;5800     5800     6500     6900     6900     8000     9100;;;;;;;;;;;;5800      6900      8000    10000;;;5800     6900     6900      8000;;;;;;;;;;;;;;;;;;;;;
;;71.00;;0.582    10.586  10.430                20.420;;;;;;Colapso-psi;;;4880     4880     5130     5240     5240     5470     5760;;;;;;;;;;;;6720      7430      7920      8700;;;4880     5240     7430      5470;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;1634     1634     1838     1940     1940     2246     2552;;;;;;;;;;;;1634      1940      2246      2859;;;1634     1940     1940      2246;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;6930     6930     7800     8230     8230     9530   10840;;;;;;;;;;;;6930      8230      9530    12140;;;6930     8230     8230      9530;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;6300     6300     7100     7500     7500     8700     9900;;;;;;;;;;;;6300      7500      8700    10000;;;6300     7500     7500      8700;;;;;;;;;;;;;;;;;;;;;
;11 7/8;71.80;;0.582    10.711  10.555  10.625  20.648;;;;;;Colapso-psi;;;3170     3880     3880     4270     4750     4750     4990     5080     5080     5290     5630;;;;;;;;;;;;6590      7260      7740      8480;;;4750     5080     7260      5290;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;826     1136     1136     1342     1652     1652     1858     1962     1962     2271     2581;;;;;;;;;;;;1652      1962      2271      2891;;;1652     1962     1962      2271;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;3430     4720     4720     5570     6860     6860     7720     8150     8150     9430   10720;;;;;;;;;;;;6860      8150      9430    12010;;;6860     8150     8150      9430;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;3100     4300     4300     5100     6300     6300     7100     7500     7500     8600    9800\;;;;;;;;;;;;6300      7500      8600    11000;;;6300     7500     7500      8600;;;;;;;;;;;;;;;;;;;;;
;13 3/8;48.00;;0.330    12.715  12.559                13.524;;;;;;Colapso-psi;;;740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;54.50;;0.380;12.615  12.495                15.514;;;;;Colapso-psi;;;;1130;;1130;;1140;;;;;;;;;;;;;;;;;;;;;1140;1140;;1140;;;;;
;;;;;;;;;;Tension-klb;;;;853;;853;;1008;;;;;;;;;;;;;;;;;;;;;1241;1474;;1706;;;;;
;;;;;;;;;;PInterna-psi;;;;2730;;2730;;3230;;;;;;;;;;;;;;;;;;;;;3980;4720;;5470;;;;;
;;;;;;;;;;PPrueba-psi;;;;1900;;1900;;3000;;;;;;;;;;;;;;;;;;;;;3600;4300;;5000;;;;;
;;61.00;;0.430;12.515  12.359                17.487;;;;;Colapso-psi;;;;1540;;1540;;1620;;;;;;;;;;;;;;;;;;;;;1670;1670;;1670;;;;;
;;;;;;;;;;Tension-klb;;;;962;;962;;1137;;;;;;;;;;;;;;;;;;;;;1399;1661;;1924;;;;;
;;;;;;;;;;PInterna-psi;;;;3090;;3090;;3660;;;;;;;;;;;;;;;;;;;;;4500;5340;;6190;;;;;
;;;;;;;;;;PPrueba-psi;;;;2100;;2100;;3300;;;;;;;;;;;;;;;;;;;;;4100;4900;;5700;;;;;
;;68.00;;0.480;12.415  12.259                19.445;;;;;Colapso-psi;;;;1950;;1950;;2100;;2260;2260;;2320;;2330;;2330;;2330;;;;2930;;2990;;3280;3530;2260;2330;2990;2330;;;;;
;;;;;;;;;;Tension-klb;;;;1069;;1069;;1264;;1556;1556;;1750;;1847;;1847;;2139;;;;1556;;1847;;2139;2722;1556;1847;1847;2139;;;;;
