MD [m],Inc [°],Azi [°],TVD [m],HD [m],N+/S- [m],E+/W- [m],Dogleg [°/30m]
1130.66,0.0,0.0,1130.66,-0.0,-0.0,-0.0,0.0
1142.86,0.0,0.0,1142.86,0.0,0.0,0.0,0.0
1155.05,0.0,0.0,1155.05,-0.0,-0.0,-0.0,0.0
1167.24,0.0,0.0,1167.24,0.0,0.0,0.0,0.0
1179.43,0.0,0.0,1179.43,-0.0,-0.0,-0.0,0.0
1191.62,0.0,0.0,1191.62,0.0,0.0,0.0,0.0
1203.82,0.0,0.0,1203.82,-0.0,-0.0,-0.0,0.0
1216.01,0.0,0.0,1216.01,0.0,0.0,0.0,0.0
1228.2,0.0,0.0,1228.2,-0.0,-0.0,-0.0,0.0
1240.39,0.0,0.0,1240.39,0.0,0.0,0.0,0.0
1252.58,0.0,0.0,1252.58,-0.0,-0.0,-0.0,0.0
1264.78,0.0,0.0,1264.78,0.0,0.0,0.0,0.0
1276.97,0.0,0.0,1276.97,-0.0,-0.0,-0.0,0.0
1289.16,0.0,0.0,1289.16,0.0,0.0,0.0,0.0
1301.35,0.0,0.0,1301.35,-0.0,-0.0,-0.0,0.0
1313.54,0.0,0.0,1313.54,0.0,0.0,0.0,0.0
1325.74,0.0,0.0,1325.74,-0.0,-0.0,-0.0,0.0
1337.93,0.0,0.0,1337.93,0.0,0.0,0.0,0.0
1350.12,0.0,0.0,1350.12,-0.0,-0.0,-0.0,0.0
1362.31,0.0,0.0,1362.31,0.0,0.0,0.0,0.0
1374.5,0.0,0.0,1374.5,-0.0,-0.0,-0.0,0.0
1386.7,0.0,0.0,1386.7,0.0,0.0,0.0,0.0
1398.89,0.0,0.0,1398.89,-0.0,-0.0,-0.0,0.0
1411.08,0.0,0.0,1411.08,0.0,0.0,0.0,0.0
1423.27,0.0,0.0,1423.27,-0.0,-0.0,-0.0,0.0
1435.46,0.0,0.0,1435.46,0.0,0.0,0.0,0.0
1447.66,0.0,0.0,1447.66,-0.0,-0.0,-0.0,0.0
1459.85,0.0,0.0,1459.85,0.0,0.0,0.0,0.0
1472.04,0.0,0.0,1472.04,-0.0,-0.0,-0.0,0.0
1484.23,0.0,0.0,1484.23,0.0,0.0,0.0,0.0
1496.42,0.0,0.0,1496.42,-0.0,-0.0,-0.0,0.0
1508.62,0.0,0.0,1508.62,0.0,0.0,0.0,0.0
1520.81,0.0,0.0,1520.81,-0.0,-0.0,-0.0,0.0
1533.0,0.0,0.0,1533.0,0.0,0.0,0.0,0.0
1545.19,0.0,0.0,1545.19,-0.0,-0.0,-0.0,0.0
1557.38,0.0,0.0,1557.38,0.0,0.0,0.0,0.0
1569.58,0.0,0.0,1569.58,-0.0,-0.0,-0.0,0.0
1581.77,0.0,0.0,1581.77,0.0,0.0,0.0,0.0
1593.96,0.0,0.0,1593.96,-0.0,-0.0,-0.0,0.0
1606.15,0.0,0.0,1606.15,0.0,0.0,0.0,0.0
1618.34,0.0,0.0,1618.34,-0.0,-0.0,-0.0,0.0
1630.54,0.0,0.0,1630.54,0.0,0.0,0.0,0.0
1642.73,0.0,0.0,1642.73,-0.0,-0.0,-0.0,0.0
1654.92,0.0,0.0,1654.92,0.0,0.0,0.0,0.0
1667.11,0.0,0.0,1667.11,-0.0,-0.0,-0.0,0.0
1679.3,0.0,0.0,1679.3,0.0,0.0,0.0,0.0
1691.5,0.0,0.0,1691.5,-0.0,-0.0,-0.0,0.0
1703.69,0.0,0.0,1703.69,0.0,0.0,0.0,0.0
1715.88,0.0,0.0,1715.88,-0.0,-0.0,-0.0,0.0
1728.07,0.0,0.0,1728.07,0.0,0.0,0.0,0.0
1740.26,0.0,0.0,1740.26,-0.0,-0.0,-0.0,0.0
1752.46,0.0,0.0,1752.46,0.0,0.0,0.0,0.0
1764.65,0.0,0.0,1764.65,-0.0,-0.0,-0.0,0.0
1776.84,0.0,0.0,1776.84,0.0,0.0,0.0,0.0
1789.03,0.0,0.0,1789.03,-0.0,-0.0,-0.0,0.0
1801.22,0.0,0.0,1801.22,0.0,0.0,0.0,0.0
1813.42,0.0,0.0,1813.42,-0.0,-0.0,-0.0,0.0
1825.61,0.0,0.0,1825.61,0.0,0.0,0.0,0.0
1837.8,0.0,0.0,1837.8,-0.0,-0.0,-0.0,0.0
1849.99,0.0,0.0,1849.99,0.0,0.0,0.0,0.0
1862.18,0.0,0.0,1862.18,-0.0,-0.0,-0.0,0.0
1874.38,0.0,0.0,1874.38,0.0,0.0,0.0,0.0
1886.57,0.0,0.0,1886.57,-0.0,-0.0,-0.0,0.0
1898.76,0.0,0.0,1898.76,0.0,0.0,0.0,0.0
1910.95,0.0,0.0,1910.95,-0.0,-0.0,-0.0,0.0
1923.14,0.0,0.0,1923.14,0.0,0.0,0.0,0.0
1935.34,0.0,0.0,1935.34,-0.0,-0.0,-0.0,0.0
1947.53,0.0,0.0,1947.53,0.0,0.0,0.0,0.0
1959.72,0.0,0.0,1959.72,-0.0,-0.0,-0.0,0.0
1971.91,0.0,0.0,1971.91,0.0,0.0,0.0,0.0
1984.1,0.0,0.0,1984.1,-0.0,-0.0,-0.0,0.0
1996.3,0.0,0.0,1996.3,0.0,0.0,0.0,0.0
2008.49,0.0,0.0,2008.49,-0.0,-0.0,-0.0,0.0
2020.68,0.0,0.0,2020.68,0.0,0.0,0.0,0.0
2032.87,0.0,0.0,2032.87,-0.0,-0.0,-0.0,0.0
2045.06,0.0,0.0,2045.06,0.0,0.0,0.0,0.0
2057.26,0.0,0.0,2057.26,-0.0,-0.0,-0.0,0.0
2069.45,0.0,0.0,2069.45,0.0,0.0,0.0,0.0
2081.64,0.0,0.0,2081.64,-0.0,-0.0,-0.0,0.0
2093.83,0.0,0.0,2093.83,0.0,0.0,0.0,0.0
2106.02,0.0,0.0,2106.02,-0.0,-0.0,-0.0,0.0
2118.22,0.0,0.0,2118.22,0.0,0.0,0.0,0.0
2130.41,0.0,0.0,2130.41,-0.0,-0.0,-0.0,0.0
2142.6,0.0,0.0,2142.6,0.0,0.0,0.0,0.0
2154.79,0.0,0.0,2154.79,-0.0,-0.0,-0.0,0.0
2166.98,0.0,0.0,2166.98,0.0,0.0,0.0,0.0
2179.18,0.0,0.0,2179.18,-0.0,-0.0,-0.0,0.0
2191.37,0.0,0.0,2191.37,0.0,0.0,0.0,0.0
2203.56,0.0,0.0,2203.56,-0.0,-0.0,-0.0,0.0
2215.75,0.0,0.0,2215.75,0.0,0.0,0.0,0.0
2227.94,0.0,0.0,2227.94,-0.0,-0.0,-0.0,0.0
2240.14,0.0,0.0,2240.14,0.0,0.0,0.0,0.0
2252.33,0.0,0.0,2252.33,-0.0,-0.0,-0.0,0.0
2264.52,0.0,0.0,2264.52,0.0,0.0,0.0,0.0
2276.71,0.0,0.0,2276.71,-0.0,-0.0,-0.0,0.0
2288.9,0.0,0.0,2288.9,0.0,0.0,0.0,0.0
2301.1,0.0,0.0,2301.1,-0.0,-0.0,-0.0,0.0
2313.29,0.0,0.0,2313.29,0.0,0.0,0.0,0.0
2325.48,0.0,0.0,2325.48,-0.0,-0.0,-0.0,0.0
2337.67,0.0,0.0,2337.67,0.0,0.0,0.0,0.0
2349.86,0.0,0.0,2349.86,-0.0,-0.0,-0.0,0.0
2362.06,0.0,0.0,2362.06,0.0,0.0,0.0,0.0
