MD [m],Inc [°],<SO> @ centr. [%],SO @ mid span [%]
2813.98,,,
2826.98,,,
2839.98,,,
2852.98,,,
2865.98,,,
2878.98,,,
2891.98,,,
2904.98,,,
2917.98,,,
2930.98,,,
2943.98,,,
2956.98,,,
2969.98,,,
2982.98,,,
2995.98,,,
3008.98,,,
3021.98,,,
3034.98,,,
3047.98,,,
3060.98,,,
3073.98,,,
3086.98,,,
3099.98,,,
3112.98,,,
3125.98,,,
3138.98,,,
3151.98,,,
3164.98,,,
3177.98,,,
3190.98,,,
3203.98,,,
3216.98,,,
3229.98,,,
3242.98,,,
3255.98,,,
3268.98,,,
3281.98,,,
3294.98,,,
3307.98,,,
3320.98,,,
3333.98,,,
3346.98,,,
3359.98,,,
3372.98,,,
3385.98,,,
3398.98,,,
3411.98,,,
3424.98,,,
3437.98,,,
3450.98,,,
3463.98,,,
3476.98,,,
3489.98,,,
3502.98,,,
3515.98,,,
3528.98,,,
3541.98,,,
3554.98,,,
3567.98,,,
3580.98,,,
3593.98,,,
3606.98,,,
3619.98,,,
3632.98,,,
3645.98,,,
3658.98,,,
3671.98,,,
3684.98,,,
3697.98,,,
3710.98,,,
